Lmod Warning: Input module (gcc) not found, using module: GCC . . . (ICER v.) 


# Running code with OMP_NUM_THREADS= 1
#  N=  , time (s)
  100, 0.01524
  100, 0.015207
  100, 0.015188
  100, 0.014669
  100, 0.014722
  100, 0.014904
  100, 0.015257
  100, 0.01476
  100, 0.015065
  100, 0.014589
  100, 0.014472
  100, 0.015106
  100, 0.01482
  100, 0.014677
  100, 0.015454
  100, 0.014629
  100, 0.014861
  100, 0.01463
  100, 0.01494
  100, 0.014559
  100, 0.014803
  100, 0.014754
  100, 0.014817
  100, 0.015002
  100, 0.014874
  100, 0.014561
  100, 0.014471
  100, 0.014735
  100, 0.015158
  100, 0.014571
  100, 0.015154
  100, 0.015523
  100, 0.014441
  100, 0.014794
  100, 0.015528
  100, 0.016065
  100, 0.015472
  100, 0.015084
  100, 0.015227
  100, 0.015139
  100, 0.014617
  100, 0.014788
  100, 0.01506
  100, 0.014552
  100, 0.014417
  100, 0.015041
  100, 0.014474
  100, 0.014864
  100, 0.015012
  100, 0.0151
  100, 0.014801
  100, 0.014949
  100, 0.014421
  100, 0.014422
  100, 0.014837
  100, 0.015039
  100, 0.014509
  100, 0.014423
  100, 0.014844
  100, 0.014519
  100, 0.014887
  100, 0.015063
  100, 0.014751
  100, 0.014691
  100, 0.014766
  100, 0.014893
  100, 0.014694
  100, 0.014741
  100, 0.014853
  100, 0.014897
  100, 0.014814
  100, 0.01497
  100, 0.014661
  100, 0.014568
  100, 0.015103
  100, 0.014989
  100, 0.014902
  100, 0.015303
  100, 0.014675
  100, 0.014615
  100, 0.014627
  100, 0.015039
  100, 0.014574
  100, 0.014612
  100, 0.014849
  100, 0.015027
  100, 0.01478
  100, 0.015088
  100, 0.01466
  100, 0.014766
  100, 0.014883
  100, 0.015225
  100, 0.014618
  100, 0.01484
  100, 0.014829
  100, 0.014464
  100, 0.014468
  100, 0.014817
  100, 0.015091
  100, 0.0147
# Running code with OMP_NUM_THREADS= 2
#  N=  , time (s)
  100, 0.007726
  100, 0.007734
  100, 0.007478
  100, 0.00769
  100, 0.007372
  100, 0.0073
  100, 0.007261
  100, 0.007262
  100, 0.007458
  100, 0.007348
  100, 0.00736
  100, 0.007252
  100, 0.007272
  100, 0.007342
  100, 0.007588
  100, 0.007567
  100, 0.007526
  100, 0.007297
  100, 0.007367
  100, 0.007338
  100, 0.00736
  100, 0.007242
  100, 0.007335
  100, 0.0075
  100, 0.007399
  100, 0.00739
  100, 0.007337
  100, 0.007243
  100, 0.007243
  100, 0.007537
  100, 0.007342
  100, 0.007247
  100, 0.007332
  100, 0.007653
  100, 0.007299
  100, 0.007236
  100, 0.00741
  100, 0.007435
  100, 0.007243
  100, 0.007239
  100, 0.007239
  100, 0.007244
  100, 0.007391
  100, 0.007401
  100, 0.007522
  100, 0.007801
  100, 0.007539
  100, 0.007514
  100, 0.00734
  100, 0.007441
  100, 0.007365
  100, 0.007323
  100, 0.007292
  100, 0.007415
  100, 0.007292
  100, 0.007431
  100, 0.007394
  100, 0.007558
  100, 0.007379
  100, 0.007467
  100, 0.007351
  100, 0.007329
  100, 0.007296
  100, 0.007328
  100, 0.007605
  100, 0.007362
  100, 0.007288
