Lmod Warning: Input module (gcc) not found, using module: GCC . . . (ICER v.) 


# Running code with OMP_NUM_THREADS= 1
#  N=  , time (s)
 1000, 16.6179
 1000, 17.2012
 1000, 17.4225
 1000, 17.0573
 1000, 17.1699
 1000, 17.2229
 1000, 17.0799
 1000, 16.9484
 1000, 17.0632
 1000, 17.2643
 1000, 16.9704
 1000, 16.9671
 1000, 17.4759
 1000, 17.1413
 1000, 17.1558
 1000, 17.2767
 1000, 17.5361
 1000, 16.9478
 1000, 16.9311
 1000, 16.9834
 1000, 17.0073
 1000, 17.0179
 1000, 17.107
 1000, 17.2281
 1000, 17.0725
 1000, 17.2826
 1000, 17.1286
 1000, 16.9396
 1000, 17.1624
 1000, 17.0754
 1000, 17.2275
 1000, 17.0233
 1000, 16.9645
 1000, 17.1342
 1000, 17.2032
 1000, 17.1785
 1000, 17.1
 1000, 17.2404
 1000, 17.1706
 1000, 17.0572
 1000, 17.0083
 1000, 17.1796
 1000, 16.9067
 1000, 17.037
 1000, 16.8759
 1000, 16.9913
 1000, 16.8488
 1000, 16.9485
 1000, 16.9154
 1000, 17.0573
 1000, 17.1216
 1000, 17.2312
 1000, 16.9337
 1000, 17.3298
 1000, 17.3153
 1000, 17.0653
 1000, 16.8832
 1000, 16.9114
 1000, 17.0744
 1000, 16.8615
 1000, 16.9539
 1000, 16.9527
 1000, 17.1104
 1000, 16.8909
 1000, 17.0349
 1000, 17.0557
 1000, 17.1279
 1000, 17.2137
 1000, 17.1684
 1000, 16.9477
 1000, 17.039
 1000, 17.052
 1000, 16.8505
 1000, 16.9745
 1000, 16.9143
 1000, 16.9583
 1000, 17.0149
 1000, 17.0357
 1000, 16.9739
 1000, 17.1827
 1000, 17.1695
 1000, 17.084
 1000, 17.0076
 1000, 17.1065
 1000, 17.1057
 1000, 16.9482
 1000, 16.8903
 1000, 17.0247
 1000, 17.0289
 1000, 17.1087
 1000, 16.8864
 1000, 17.0503
 1000, 17.0569
 1000, 16.8857
 1000, 16.911
 1000, 16.9015
 1000, 16.9388
 1000, 16.9529
 1000, 17.0466
 1000, 16.9989
# Running code with OMP_NUM_THREADS= 2
#  N=  , time (s)
 1000, 8.65194
 1000, 8.54465
 1000, 8.46883
 1000, 8.59615
 1000, 8.54247
 1000, 8.61408
 1000, 8.52501
 1000, 8.75958
 1000, 8.69728
 1000, 8.59478
 1000, 8.86097
 1000, 8.8916
 1000, 8.70877
 1000, 8.69221
 1000, 8.49278
 1000, 8.57964
 1000, 8.49487
 1000, 8.61332
 1000, 8.50723
 1000, 8.5035
 1000, 8.52657
 1000, 8.54768
 1000, 8.79422
 1000, 8.59048
 1000, 8.55945
 1000, 8.53348
 1000, 8.53793
 1000, 8.54824
 1000, 8.48948
 1000, 8.51766
 1000, 8.4561
 1000, 8.53244
 1000, 8.52465
 1000, 8.52307
 1000, 8.63134
 1000, 8.60944
 1000, 8.62249
 1000, 8.45432
 1000, 8.638
 1000, 8.5181
 1000, 8.56113
 1000, 8.66374
 1000, 8.44401
 1000, 8.47242
 1000, 8.45536
 1000, 8.521
 1000, 8.47218
 1000, 8.50356
 1000, 8.49984
 1000, 8.56633
 1000, 8.47852
