Lmod Warning: Input module (gcc) not found, using module: GCC . . . (ICER v.) 


# Running code with OMP_NUM_THREADS= 16
#  N=  , time (s)
 1000, 1.20247
 1000, 1.19422
 1000, 1.19469
 1000, 1.19401
 1000, 1.21287
 1000, 1.1994
 1000, 1.19639
 1000, 1.20101
 1000, 1.20635
 1000, 1.21677
 1000, 1.20534
 1000, 1.20692
 1000, 1.19908
 1000, 1.2042
 1000, 1.20402
 1000, 1.25698
 1000, 1.2267
 1000, 1.21051
 1000, 1.23868
 1000, 1.43135
 1000, 1.20593
 1000, 1.20475
 1000, 1.20197
 1000, 1.20367
 1000, 1.20568
 1000, 1.20374
 1000, 1.20425
 1000, 1.20357
 1000, 1.20406
 1000, 1.20217
 1000, 1.20139
 1000, 1.20125
 1000, 1.20256
 1000, 1.20298
 1000, 1.2006
 1000, 1.19631
 1000, 1.20192
 1000, 1.19638
 1000, 1.20124
 1000, 1.19933
 1000, 1.20209
 1000, 1.19859
 1000, 1.2003
 1000, 1.19722
 1000, 1.19731
 1000, 1.19796
 1000, 1.19632
 1000, 1.20143
 1000, 1.19941
 1000, 1.20289
 1000, 1.20339
 1000, 1.20153
 1000, 1.20129
 1000, 1.20032
 1000, 1.20266
 1000, 1.19814
 1000, 1.19527
 1000, 1.19792
 1000, 1.19474
 1000, 1.57269
 1000, 1.31827
 1000, 1.18948
 1000, 1.1898
 1000, 1.19363
 1000, 1.20158
 1000, 1.19294
 1000, 1.19438
 1000, 1.19605
 1000, 1.197
 1000, 1.19618
 1000, 1.59135
 1000, 1.19307
 1000, 1.19528
 1000, 1.19469
 1000, 1.19662
 1000, 1.19519
 1000, 1.19623
 1000, 1.19452
 1000, 1.19471
 1000, 1.38348
 1000, 1.19697
 1000, 1.1969
 1000, 1.19154
 1000, 1.19636
 1000, 1.1936
 1000, 1.19815
 1000, 1.19766
 1000, 1.19885
 1000, 1.19903
 1000, 1.19878
 1000, 1.1945
 1000, 1.19572
 1000, 1.18891
 1000, 1.19737
 1000, 1.19197
 1000, 1.19482
 1000, 1.19535
 1000, 1.19216
 1000, 1.19104
 1000, 1.192
# Running code with OMP_NUM_THREADS= 20
#  N=  , time (s)
 1000, 0.957132
 1000, 0.955892
 1000, 0.980444
 1000, 0.953588
 1000, 0.952991
 1000, 0.954072
 1000, 0.952789
 1000, 0.949763
 1000, 0.951148
 1000, 0.952261
 1000, 0.952245
 1000, 0.953641
 1000, 0.950728
 1000, 0.952982
 1000, 0.968253
 1000, 0.952847
 1000, 0.954304
 1000, 0.982506
 1000, 0.951939
 1000, 0.953289
 1000, 0.957883
 1000, 0.952929
 1000, 0.951272
 1000, 0.952955
 1000, 0.953719
 1000, 0.954518
 1000, 0.953017
 1000, 0.951742
 1000, 0.954582
 1000, 0.951797
 1000, 0.955163
 1000, 0.951859
 1000, 0.951611
 1000, 0.952883
 1000, 0.952796
 1000, 0.952313
 1000, 0.952302
 1000, 0.952279
 1000, 0.955188
 1000, 0.95272
 1000, 0.952384
 1000, 0.951152
 1000, 0.951371
 1000, 0.952382
 1000, 0.953744
 1000, 0.952427
 1000, 0.95224
 1000, 0.953668
 1000, 0.95364
 1000, 0.953676
 1000, 0.952061
